id_order,brand_cat
383533,Unknown - Unknown
258985,Unknown - Unknown
384533,Unknown - Unknown
384544,Unknown - Unknown
384617,Unknown - Unknown
384973,Apple - laptop
385477,Pack - pc
385477,Apple - extended warranty
385487,Pack - pc
385487,Apple - extended warranty
385477,Wacom - tablet
385562,Apple - smartphone
385600,Apple - laptop
385737,Apple - tablet
385835,Apple - smartphone
385854,Apple - smartphone
385857,LG - display
385882,Apple - smartphone
386273,Apple - smartphone
386273,Apple - extended warranty
386461,Apple - smartphone
386517,Apple - smartphone
386517,Apple - extended warranty
386610,Apple - smartphone
386124,Apple - tablet
386675,Apple - smartphone
386789,Apple - smartwhatch
386925,Wacom - tablet
387131,Apple - tablet
387182,Apple - tablet
387182,Apple - extended warranty
387476,Apple - smartphone
387480,Apple - laptop
387566,Apple - laptop
387579,Apple - smartphone
387579,Apple - extended warranty
387595,Apple - smartphone
387684,Apple - smartwhatch
387716,Apple - tablet
387746,Apple - smartphone
387823,Apple - pc
387823,Apple - extended warranty
387923,Apple - smartphone
388012,Apple - laptop
388012,Wacom - tablet
388207,Apple - tablet
388705,Apple - laptop
388705,LG - display
388762,D-Link - camera
388777,Apple - smartphone
388790,Unknown - Unknown
388973,Apple - extended warranty
389141,Apple - other
389141,Withings - other
389183,Apple - laptop
389234,Polaroid - printer
389397,Wacom - tablet
389434,Apple - smartphone
389434,Apple - extended warranty
389434,Apple - other
389762,Apple - laptop
389762,Apple - other
388285,Apple - laptop
388756,Unknown - Unknown
389983,Apple - smartphone
390210,Apple - smartphone
390324,Apple - smartphone
262016,Apple - laptop
390397,Apple - other
390568,Apple - laptop
390568,Apple - extended warranty
391215,Pack - pc
391215,Apple - extended warranty
389069,Apple - extended warranty
389069,Apple - laptop
390798,Apple - smartphone
391857,Apple - tablet
391866,Apple - pc
391866,Apple - extended warranty
391949,Pack - pc
392134,Apple - laptop
392226,Apple - smartphone
392317,Apple - laptop
390784,Apple - tablet
392525,Apple - laptop
392587,Unknown - Unknown
392685,Apple - smartphone
392725,Apple - laptop
392748,Apple - smartphone
393186,Wacom - tablet
393219,Apple - smartphone
393219,Apple - extended warranty
393374,Apple - other
393374,Pack - pc
392951,Unknown - Unknown
393495,Apple - smartphone
393392,LG - display
393746,LG - display
393760,Wacom - tablet
393746,Apple - pc
393814,Apple - pc
393818,Trascend - other
393128,Apple - laptop
393947,Pack - pc
393947,Apple - extended warranty
394023,Apple - smartphone
393034,Apple - pc
393034,Apple - extended warranty
394039,Apple - tablet
394066,Dell - display
394075,LG - display
394187,Apple - pc
394187,Apple - extended warranty
384584,Apple - laptop
394509,Apple - laptop
394652,Apple - laptop
394652,Apple - extended warranty
394917,Apple - smartphone
395005,Trascend - other
395005,Pack - pc
395191,Apple - smartphone
395230,Apple - pc
395230,Unknown - Unknown
395317,Apple - laptop
394874,Apple - smartphone
395439,Apple - smartphone
395530,Apple - pc
395618,Apple - smartphone
396417,Apple - laptop
396547,Apple - smartphone
396560,Apple - smartphone
396560,Apple - extended warranty
396696,Pack - pc
396696,Service - service
397101,Apple - pc
397101,Apple - extended warranty
397126,Pack - pc
397126,Apple - extended warranty
397591,Apple - laptop
397591,Microsoft - software
397612,Pack - pc
397612,Apple - extended warranty
397709,Apple - smartphone
397709,Apple - extended warranty
397866,Apple - tablet
398025,Apple - extended warranty
398249,Apple - smartphone
398325,Apple - laptop
398325,Apple - extended warranty
398379,Apple - smartphone
398395,Apple - smartphone
397681,Apple - smartphone
398198,Apple - smartphone
398587,Apple - smartphone
398587,Apple - extended warranty
398587,Apple - other
398025,Apple - smartphone
398913,Apple - smartphone
399085,Apple - smartphone
399085,Apple - extended warranty
399150,Pack - pc
397419,Apple - smartphone
398918,Apple - laptop
399369,Samsung - display
399369,Apple - pc
399464,Apple - smartphone
399240,Pack - pc
399240,Apple - extended warranty
399769,Apple - smartphone
399808,Apple - smartphone
399808,Apple - extended warranty
399960,Apple - smartphone
400175,Unknown - Unknown
400175,Eizo - display
399375,Pack - pc
400749,Apple - smartphone
400719,Apple - smartphone
400930,Apple - smartphone
400930,Apple - extended warranty
401045,Apple - smartphone
401126,LG - display
401226,Apple - smartphone
401323,Dell - display
401373,Apple - smartphone
401388,Apple - smartphone
401528,Apple - laptop
401545,Apple - laptop
401231,Apple - pc
401231,Samsung - display
401721,LG - display
401794,Apple - laptop
401794,Apple - extended warranty
401857,Apple - tablet
401931,Apple - laptop
402011,Apple - smartphone
402015,Apple - laptop
402073,Apple - extended warranty
401374,Apple - laptop
401374,Apple - extended warranty
399375,Trascend - other
402404,Pack - pc
402404,Apple - extended warranty
402443,Apple - laptop
402502,Apple - tablet
402502,Apple - smartphone
402508,Apple - smartphone
402508,Apple - extended warranty
402604,Apple - smartphone
402607,Apple - pc
402774,Apple - tablet
402805,Apple - pc
402805,Apple - extended warranty
402851,Apple - laptop
402851,Microsoft - software
402955,Microsoft - software
402955,Apple - extended warranty
403094,Pack - pc
403094,Apple - extended warranty
403097,Apple - smartphone
403098,Apple - smartphone
403110,Eizo - display
403271,Apple - laptop
403271,Apple - extended warranty
403297,Apple - smartphone
403403,Apple - smartphone
403406,Dell - display
403511,Apple - smartwhatch
403535,Apple - tablet
403541,Apple - smartphone
403541,Apple - extended warranty
402073,Apple - smartphone
403585,Apple - smartwhatch
403831,Apple - smartphone
403889,Apple - smartphone
403889,Apple - extended warranty
404101,Apple - smartphone
404155,Apple - tablet
404155,Apple - extended warranty
404216,Apple - pc
404216,Apple - extended warranty
404229,Apple - smartphone
404229,Apple - extended warranty
404235,Apple - smartphone
